ID,Titre,Genre,Pays_origine,Budget,Recettes,Nombre_votes,Note_moyenne,Realisateurs,Acteurs_principaux,Date_sortie
1,#Alive,Action Horreur Thriller,South Korea,6300000.0,13416285.0,3354.0,7.26,Cho Il,"유아인, Park Shin-hye, 이현욱, 진소연, 김학선",2020
2,#Iamhere,Comédie Romance,,0.0,0.0,153.0,5.6,,,2020
3,(C)ANSWERS: The Answers to Cancer,Documentaire,,555000.0,0.0,0.0,,,,2020
4,(UN)Ideal Man,Comédie Science-Fiction Romance,,2441680.0,0.0,14.0,5.8,,,2020
5,"...Watch Out, We're Mad",Comédie Action,,0.0,0.0,92.0,5.4,,,2022
6,01:33 07/04/2021,,,0.0,1000000000.0,0.0,,,,2021
7,10 Days Without Mum,Familial Comédie,,0.0,9305412.0,221.0,6.1,,,2020
8,10 Days with Santa Claus,Comédie,,4000000.0,0.0,158.0,6.3,,,2020
9,10 Things We Should Do Before We Break Up,Comédie Romance,,5000000.0,0.0,78.0,5.3,,,2020
10,100% Wolf,Animation Familial Fantastique,,0.0,4608579.0,261.0,6.0,,,2020
11,1000 Miles From Christmas,Comédie Romance,,0.0,0.0,93.0,6.3,,,2021
12,12,,Saudi Arabia,0.0,0.0,54.0,5.57,Salih Hashwan,,2020
13,12 Gifts of Christmas,Familial TV Movie Comédie Romance,,0.0,0.0,74.0,6.0,,,2022
14,12 Hour Shift,Thriller Horreur Comédie Policier,,0.0,0.0,176.0,5.5,Brea Grant,"Angela Bettis, Julianne Dowler, Tom DeTrinis",2020
15,12 Mighty Orphans,Historique Drame Action,,0.0,3615193.0,132.0,7.4,,,2021
16,13 Minutes,Action Drame Thriller,,0.0,67413.0,135.0,6.2,,,2021
17,14 Peaks: Nothing Is Impossible,Documentaire,,0.0,0.0,230.0,7.4,,,2021
18,18 Presents,Drame Fantastique,,2500000.0,3486375.0,580.0,7.5,Francesco Amato,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo",2020
19,18 Year Old Seungha's Sense Game,Romance Drame,,80000.0,0.0,2.0,5.5,,,2020
20,18금 아이돌 승하의 섹스 스캔들,Drame Romance,South Korea,0.0,0.0,77.0,6.83,Choi Jin-chul,"채승하, Seo Bo-ra, Si Hoo, Gil Dong",2020
21,1938: When the Oil was Ours,Drame Historique,,850000.0,0.0,0.0,,,,2024
22,2 Hearts,Romance Drame,,0.0,0.0,425.0,7.48,,,2020
23,2 Minutes of Fame,Comédie,,0.0,0.0,51.0,6.7,,,2020
24,2000 Mules,Documentaire,,0.0,765000.0,35.0,6.9,,,2022
25,2020 (G)I-DLE Online Concert 'I-Land : Who Am I',Musique,,0.0,363000.0,18.0,9.1,,,2020
26,2025: The World Enslaved by a Virus,Aventure Science-Fiction Drame Thriller Fantastique,United States of America,10000.0,0.0,50.0,1.83,"Joshua Wesely, Simon Wesely","Simon Wesely, Joshua Wesely, Matthew Dougan, Coby Gilyard, Isabelle Scheuermann",2021
27,2067,Science-Fiction Thriller,"Australia, United States of America",0.0,0.0,1557.0,5.33,Seth Larney,"Kodi Smit-McPhee, Ryan Kwanten, Sana'a Shaik, Aaron Glenane, Leeanna Walsman",2020
28,20th Century Girl,Romance Drame,South Korea,119.0,0.0,1169.0,8.24,Bang Woo-ri,"Kim You-jung, Byeon Woo-seok, 박정우, 노윤서, 김성경",2022
29,22 vs. Earth,Familial Comédie Fantastique Animation,,0.0,0.0,346.0,7.06,,,2021
30,28 Ans plus tard,Horreur Thriller Science-Fiction,"United Kingdom, United States of America",60000000.0,103053547.0,411.0,7.18,Danny Boyle,"Alfie Williams, Jodie Comer, Aaron Taylor-Johnson, Ralph Fiennes, Jack O'Connell",2025
31,3 Tickets to Paradise,Action Western,,330000.0,0.0,4.0,4.1,,,2021
32,30 Days Max,Comédie Action,,13000000.0,11208529.0,287.0,5.5,,,2020
33,32 Malasana Street,Drame Horreur,,0.0,0.0,591.0,6.5,,,2020
34,355,Action Aventure Thriller,"United States of America, France, Hong Kong, Morocco, Taiwan",75000000.0,55700000.0,2012.0,6.07,Simon Kinberg,"Jessica Chastain, Lupita Nyong'o, Penélope Cruz, Diane Kruger, Fan Bingbing",2022
35,365 jours,Romance Drame,Poland,0.0,9458590.0,17326.0,7.05,"Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska",2020
36,365 jours : Au lendemain,Romance Drame,Poland,0.0,0.0,2809.0,5.9,"Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze",2022
37,365 jours : L'Année d'après,Romance Drame,Poland,0.0,0.0,1900.0,6.45,"Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze",2022
38,38°5 Quai des Orfèvres,Comédie Policier,,3700000.0,0.0,0.0,,,,2023
39,3E,Policier Drame Thriller,,120000.0,0.0,1.0,9.0,,,2022
40,4 Halloween,,,50000.0,0.0,0.0,,,,2023
41,4 Presidents,Documentaire Historique,,1500000.0,0.0,1.0,9.5,,,2020
